Cluster,Ray
Ptr01,0.150424569
Ptr01,0.128671334
Ptr01,0.224605426
Ptr01,0.196685484
Ptr01,0.2308563
Ptr01,0.191403446
Ptr01,0.099158893
Ptr01,0.163638128
Ptr01,0.119343137
Ptr01,0.133714361
Ptr01,0.184667213
Ptr01,0.152915387
Ptr01,0.182309204
Ptr01,0.203802648
Ptr01,0.101738831
Ptr01,0.133726911
Ptr01,0.120098644
Ptr01,0.136840154
Ptr01,0.186559252
Ptr01,0.185201096
Ptr01,0.120808147
Ptr01,0.204138366
Ptr01,0.109883609
Ptr01,0.181053372
Ptr01,0.140748776
Ptr01,0.226933872
Ptr01,0.23436942
Ptr01,0.090478697
Ptr01,0.171364386
Ptr01,0.167222735
Ptr01,0.081988009
Ptr01,0.172849146
Ptr01,0.329339873
Ptr01,0.222436753
Ptr01,0.242165923
Ptr01,0.129509093
Ptr01,0.178721485
Ptr01,0.177700011
Ptr01,0.238703758
Ptr01,0.268030061
Ptr01,0.127307832
Ptr01,0.235287207
Ptr01,0.193172619
Ptr01,0.12828937
Ptr01,0.15898916
Ptr01,0.14283408
Ptr01,0.187564934
Ptr01,0.174820538
Ptr01,0.187749464
Ptr01,0.478466031
Ptr01,0.094517251
Ptr01,0.181873439
Ptr01,0.196043659
Ptr01,0.192456254
Ptr01,0.132446454
Ptr01,0.12100554
Ptr01,0.106490459
Ptr01,0.320220516
Ptr01,0.181156037
Ptr01,0.261854569
Ptr01,0.133564899
Ptr01,0.213013631
Ptr01,0.150374694
Ptr01,0.220036484
Ptr01,0.142592358
Ptr01,0.168167096
Ptr01,0.143130684
Ptr01,0.20876235
Ptr01,0.287429664
Ptr01,0.122376661
Ptr01,0.143917255
Ptr01,0.163941739
Ptr01,0.193660821
Ptr01,0.103880007
Ptr01,0.16497335
Ptr01,0.216068257
Ptr01,0.168133181
Ptr01,0.115592646
Ptr01,0.219727527
Ptr01,0.202413157
Ptr01,0.249434768
Ptr01,0.101056975
Ptr01,0.171853658
Ptr01,0.178345021
Ptr01,0.178258775
Ptr01,0.233680086
Ptr01,0.254158288
Ptr01,0.154286126
Ptr01,0.251093565
Ptr01,0.236596706
Ptr01,0.248951456
Ptr01,0.180003269
Ptr01,0.210524413
Ptr01,0.136014877
Ptr01,0.164688578
Ptr01,0.149343117
Ptr01,0.187264198
Ptr01,0.134044711
Ptr01,0.263961187
Ptr01,0.172907055
Ptr01,0.166936438
Ptr01,0.139372133
Ptr01,0.212680278
Ptr01,0.237597159
Ptr01,0.154719702
Ptr01,0.103096806
Ptr01,0.186405335
Ptr01,0.145453921
Ptr01,0.119618501
Ptr01,0.169553783
Ptr01,0.168965105
Ptr01,0.208102665
Ptr01,0.275922567
Ptr01,0.2418353
Ptr01,0.19621105
Ptr01,0.124082726
Ptr01,0.163662772
Ptr01,0.17825194
Ptr01,0.159015783
Ptr01,0.263239963
Ptr01,0.11826534
Ptr01,0.147384262
Ptr01,0.1032894
Ptr01,0.123499458
Ptr01,0.152205988
Ptr01,0.197678488
Ptr01,0.140564789
Ptr01,0.215080617
Ptr01,0.148007892
Ptr01,0.156642234
Ptr01,0.264455561
Ptr01,0.305316468
Ptr01,0.139254932
Ptr01,0.205653934
Ptr01,0.228526467
Ptr01,0.192728785
Ptr01,0.192583329
Ptr01,0.236603532
Ptr01,0.225203194
Ptr01,0.072958288
Ptr01,0.150217237
Ptr01,0.095851856
Ptr01,0.102545203
Ptr01,0.187342892
Ptr01,0.388764887
Ptr01,0.219277858
Ptr01,0.215419731
Ptr01,0.229870077
Ptr01,0.120392266
Ptr01,0.205044862
Ptr01,0.149566
Ptr01,0.194255615
Ptr01,0.095143964
Ptr01,0.242292282
Ptr01,0.208025863
Ptr01,0.142652617
Ptr01,0.265472038
Ptr01,0.12518232
Ptr01,0.142359284
Ptr01,0.125583377
Ptr01,0.07715033
Ptr01,0.18814198
Ptr01,0.225848732
Ptr01,0.244943539
Ptr01,0.340895582
Ptr01,0.153987076
Ptr01,0.254812022
Ptr01,0.189467073
Ptr01,0.225544524
Ptr01,0.115992862
Ptr01,0.15965907
Ptr01,0.2189467
Ptr01,0.186439972
Ptr01,0.126251785
Ptr01,0.223051661
Ptr01,0.118489615
Ptr01,0.197153994
Ptr01,0.18674462
Ptr01,0.239874902
