Cluster,Vessel
Ptr01,0.173653628
Ptr01,0.196769877
Ptr01,0.215430266
Ptr01,0.193638885
Ptr01,0.246047883
Ptr01,0.249022118
Ptr01,0.164745381
Ptr01,0.185365288
Ptr01,0.16557952
Ptr01,0.196008071
Ptr01,0.224247499
Ptr01,0.261436494
Ptr01,0.138704343
Ptr01,0.237299212
Ptr01,0.180820757
Ptr01,0.205875362
Ptr01,0.241483157
Ptr01,0.303479892
Ptr01,0.31900388
Ptr01,0.161572437
Ptr01,0.253451733
Ptr01,0.171849293
Ptr01,0.13108938
Ptr01,0.2394187
Ptr01,0.303444166
Ptr01,0.244589649
Ptr01,0.237836524
Ptr01,0.201140709
Ptr01,0.278882376
Ptr01,0.227107618
Ptr01,0.284936206
Ptr01,0.310019666
Ptr01,0.150448173
Ptr01,0.269773892
Ptr01,0.229182615
Ptr01,0.18654648
Ptr01,0.199794637
Ptr01,0.196125678
Ptr01,0.253535903
Ptr01,0.190569769
Ptr01,0.265186776
Ptr01,0.253664404
Ptr01,0.141726931
Ptr01,0.235357951
Ptr01,0.245331239
Ptr01,0.232661187
Ptr01,0.168800349
Ptr01,0.174698688
Ptr01,0.177867268
Ptr01,0.307796316
Ptr01,0.260284576
Ptr01,0.344567862
Ptr01,0.170263207
Ptr01,0.248245537
Ptr01,0.216652398
Ptr01,0.292460537
Ptr01,0.189959317
Ptr01,0.234053712
Ptr01,0.151880464
Ptr01,0.250475709
Ptr01,0.162927332
Ptr01,0.147923317
Ptr01,0.225102069
Ptr01,0.22279544
Ptr01,0.274938859
Ptr01,0.167193087
Ptr01,0.20522375
Ptr01,0.279261763
Ptr01,0.208224732
Ptr01,0.148818473
Ptr01,0.273992944
Ptr01,0.285136092
Ptr01,0.257682648
Ptr01,0.137891874
Ptr01,0.204514889
Ptr01,0.244308921
Ptr01,0.228842924
Ptr01,0.28361416
Ptr01,0.294025178
Ptr01,0.207405645
Ptr01,0.282610023
Ptr01,0.274405555
Ptr01,0.294432505
Ptr01,0.246039207
Ptr01,0.256095235
Ptr01,0.172114987
Ptr01,0.220956049
Ptr01,0.195651348
Ptr01,0.257694557
Ptr01,0.189813337
Ptr01,0.314155473
Ptr01,0.260834331
Ptr01,0.208062592
Ptr01,0.196997178
Ptr01,0.251982496
Ptr01,0.280986693
Ptr01,0.238956134
Ptr01,0.136438491
Ptr01,0.248666788
Ptr01,0.17953401
Ptr01,0.176507291
Ptr01,0.255132645
Ptr01,0.22198313
Ptr01,0.267633535
Ptr01,0.315452555
Ptr01,0.284124681
Ptr01,0.25042771
Ptr01,0.203996881
Ptr01,0.257691548
Ptr01,0.220381178
Ptr01,0.207631885
Ptr01,0.227891799
Ptr01,0.160045752
Ptr01,0.201302898
Ptr01,0.166402481
Ptr01,0.211541807
Ptr01,0.221635108
Ptr01,0.28966823
Ptr01,0.180026347
Ptr01,0.234024044
Ptr01,0.208648891
Ptr01,0.212577776
Ptr01,0.25629881
Ptr01,0.348758053
Ptr01,0.188392041
Ptr01,0.271035977
Ptr01,0.295838103
Ptr01,0.223085753
Ptr01,0.226526369
Ptr01,0.285752535
Ptr01,0.292844741
Ptr01,0.118322095
Ptr01,0.216569485
Ptr01,0.12272934
Ptr01,0.158953019
Ptr01,0.262290801
Ptr01,0.285060312
Ptr01,0.260901866
Ptr01,0.229728496
Ptr01,0.277084654
Ptr01,0.192111269
Ptr01,0.257385722
Ptr01,0.23114384
Ptr01,0.218829658
Ptr01,0.164061751
Ptr01,0.275341197
Ptr01,0.298391604
Ptr01,0.225720072
Ptr01,0.268217325
Ptr01,0.193374193
Ptr01,0.21093263
Ptr01,0.174549028
Ptr01,0.109139622
Ptr01,0.222726794
Ptr01,0.285241298
Ptr01,0.295958591
Ptr01,0.383452816
Ptr01,0.198856955
Ptr01,0.254047663
Ptr01,0.245425274
Ptr01,0.259455922
Ptr01,0.160904175
Ptr01,0.230895935
Ptr01,0.278518267
Ptr01,0.235088323
Ptr01,0.177466153
Ptr01,0.291136655
Ptr01,0.144013171
Ptr01,0.271552372
Ptr01,0.230534538
Ptr01,0.293419579
Ptr01,0.288191173
Ptr01,0.279489932
Ptr01,0.182922396
Ptr01,0.141821169
Ptr01,0.147015063
Ptr01,0.291575757
Ptr01,0.266709908
Ptr01,0.17590318
Ptr01,0.230814227
Ptr01,0.235788076
Ptr01,0.27432103
Ptr01,0.220242359
Ptr01,0.244794027
Ptr01,0.253875226
Ptr01,0.292669061
Ptr01,0.16523501
Ptr01,0.184964422
Ptr01,0.186480295
Ptr01,0.162054448
Ptr01,0.247503854
Ptr01,0.246023966
Ptr01,0.216650815
Ptr01,0.262873922
Ptr01,0.233084616
Ptr01,0.1894034
Ptr01,0.247112567
Ptr01,0.225378188
Ptr01,0.234564997
Ptr01,0.234080492
Ptr01,0.193993864
Ptr01,0.224822917
Ptr01,0.135983312
Ptr01,0.189176067
Ptr01,0.202162637
Ptr01,0.275689573
Ptr01,0.211144152
Ptr01,0.259660013
Ptr01,0.239725858
Ptr01,0.263027323
Ptr01,0.217803908
Ptr01,0.234883541
Ptr01,0.294789241
Ptr01,0.289526397
Ptr01,0.251831392
Ptr01,0.24555648
Ptr01,0.279967533
Ptr01,0.305542779
Ptr01,0.199910085
Ptr01,0.208738627
Ptr01,0.276498372
Ptr01,0.159142764
Ptr01,0.326029365
Ptr01,0.15175705
Ptr01,0.284735599
Ptr01,0.236514405
Ptr01,0.174763082
Ptr01,0.132622457
Ptr01,0.231324533
Ptr01,0.215674645
Ptr01,0.24828675
Ptr01,0.31215292
Ptr01,0.263017835
Ptr01,0.195993626
Ptr01,0.285219616
Ptr01,0.257582607
Ptr01,0.240656881
Ptr01,0.243799237
Ptr01,0.25229647
Ptr01,0.22978427
Ptr01,0.26754677
Ptr01,0.222068737
Ptr01,0.172791453
Ptr01,0.13872911
Ptr01,0.258157562
Ptr01,0.179347726
Ptr01,0.266837932
Ptr01,0.177168258
Ptr01,0.242666666
Ptr01,0.244132856
Ptr01,0.215640447
Ptr01,0.284497541
Ptr01,0.201885481
Ptr01,0.175734931
Ptr01,0.203112177
Ptr01,0.167812523
Ptr01,0.335143209
Ptr01,0.242689039
Ptr01,0.222450153
Ptr01,0.205911075
Ptr01,0.216153829
Ptr01,0.259671592
Ptr01,0.178676573
Ptr01,0.188023947
Ptr01,0.228291334
Ptr01,0.191663151
Ptr01,0.172410943
Ptr01,0.310525245
Ptr01,0.233990988
Ptr01,0.214308505
Ptr01,0.25349597
Ptr01,0.189395436
Ptr01,0.133921209
Ptr01,0.227806911
Ptr01,0.287502188
