Cluster,Fiber
Ptr01,0.259070822
Ptr01,0.143023026
Ptr01,0.283879525
Ptr01,0.336723191
Ptr01,0.383564758
Ptr01,0.1932674
Ptr01,0.353278942
Ptr01,0.220709598
Ptr01,0.365336581
Ptr01,0.180699498
Ptr01,0.288552031
Ptr01,0.314655429
Ptr01,0.232576165
Ptr01,0.32684671
Ptr01,0.162779639
Ptr01,0.360602702
Ptr01,0.251008738
Ptr01,0.181760139
Ptr01,0.207429776
Ptr01,0.311608897
Ptr01,0.39062505
Ptr01,0.305695602
Ptr01,0.219033272
Ptr01,0.187684855
Ptr01,0.381770343
Ptr01,0.235292099
Ptr01,0.111581153
Ptr01,0.328450143
Ptr01,0.292642029
Ptr01,0.395510394
Ptr01,0.346483964
Ptr01,0.145102944
Ptr01,0.189164213
Ptr01,0.218135651
Ptr01,0.205805659
Ptr01,0.270069443
Ptr01,0.256571199
Ptr01,0.266531619
Ptr01,0.3911714
Ptr01,0.184198656
Ptr01,0.282588823
Ptr01,0.20155953
Ptr01,0.207503676
Ptr01,0.287714386
Ptr01,0.304409986
Ptr01,0.232374057
Ptr01,0.262266238
Ptr01,0.181034371
Ptr01,0.250612007
Ptr01,0.267102112
Ptr01,0.299992816
Ptr01,0.284630831
Ptr01,0.185336875
Ptr01,0.284778114
Ptr01,0.269910061
Ptr01,0.132175307
Ptr01,0.243123309
Ptr01,0.386920771
Ptr01,0.285957333
Ptr01,0.297921619
Ptr01,0.154422005
Ptr01,0.314656343
Ptr01,0.185971677
Ptr01,0.243327155
Ptr01,0.316251433
Ptr01,0.201903369
Ptr01,0.421802233
Ptr01,0.236874513
Ptr01,0.234065764
Ptr01,0.209169302
Ptr01,0.281775805
Ptr01,0.388433979
Ptr01,0.286633873
Ptr01,0.242600999
Ptr01,0.320468396
Ptr01,0.148823494
Ptr01,0.244448437
Ptr01,0.260571418
Ptr01,0.289361923
Ptr01,0.331356625
Ptr01,0.216376576
Ptr01,0.188461229
Ptr01,0.382117316
Ptr01,0.302328705
Ptr01,0.276707868
Ptr01,0.200730704
Ptr01,0.313440777
Ptr01,0.238243387
Ptr01,0.24789965
Ptr01,0.2163896
Ptr01,0.235353694
Ptr01,0.191490929
Ptr01,0.304442793
Ptr01,0.202584284
Ptr01,0.180777562
Ptr01,0.276199897
Ptr01,0.243612606
Ptr01,0.304963059
Ptr01,0.158048907
Ptr01,0.225572236
Ptr01,0.384540556
Ptr01,0.243117213
Ptr01,0.174037934
Ptr01,0.335896724
Ptr01,0.274098469
Ptr01,0.386620445
Ptr01,0.144769012
Ptr01,0.240506259
Ptr01,0.24902909
Ptr01,0.239221416
Ptr01,0.356146663
Ptr01,0.314669615
Ptr01,0.257934351
Ptr01,0.333912117
Ptr01,0.390418764
Ptr01,0.41059047
Ptr01,0.273826342
Ptr01,0.326212818
Ptr01,0.200752322
Ptr01,0.250219196
Ptr01,0.191928653
Ptr01,0.294018045
Ptr01,0.241988403
Ptr01,0.412072712
Ptr01,0.261669511
Ptr01,0.219306318
Ptr01,0.154204797
Ptr01,0.261468263
Ptr01,0.319263276
Ptr01,0.248629623
Ptr01,0.21156207
Ptr01,0.297794383
Ptr01,0.23982822
Ptr01,0.153372076
Ptr01,0.322175174
Ptr01,0.241624084
Ptr01,0.31527505
Ptr01,0.283493652
Ptr01,0.366341532
Ptr01,0.309799754
Ptr01,0.208383027
Ptr01,0.250278452
Ptr01,0.359245282
Ptr01,0.244934255
Ptr01,0.278342498
Ptr01,0.203526379
Ptr01,0.266808246
Ptr01,0.161527639
Ptr01,0.198341095
Ptr01,0.266693282
Ptr01,0.200033035
Ptr01,0.168093475
Ptr01,0.271120569
Ptr01,0.225408141
Ptr01,0.237076095
Ptr01,0.317453336
Ptr01,0.277055874
Ptr01,0.169392152
Ptr01,0.299596141
Ptr01,0.400459704
Ptr01,0.256983792
Ptr01,0.257771315
Ptr01,0.294513907
Ptr01,0.326394746
Ptr01,0.128304705
Ptr01,0.242161812
Ptr01,0.217811868
Ptr01,0.154641802
Ptr01,0.299919579
Ptr01,0.37685098
Ptr01,0.311867004
Ptr01,0.309332249
Ptr01,0.373684153
Ptr01,0.139704028
Ptr01,0.409467146
Ptr01,0.240031475
Ptr01,0.36966997
Ptr01,0.180547129
Ptr01,0.358894444
Ptr01,0.386334394
Ptr01,0.214177049
Ptr01,0.327685521
Ptr01,0.178609828
Ptr01,0.230572401
Ptr01,0.276387926
Ptr01,0.099477353
Ptr01,0.288937544
Ptr01,0.39330961
Ptr01,0.349002726
Ptr01,0.238021591
Ptr01,0.234527544
Ptr01,0.285958331
Ptr01,0.321590226
Ptr01,0.315270833
Ptr01,0.166716308
Ptr01,0.323702282
Ptr01,0.224632429
Ptr01,0.257467431
Ptr01,0.21281411
Ptr01,0.441242868
Ptr01,0.189721275
Ptr01,0.321552473
Ptr01,0.233573719
Ptr01,0.274246342
Ptr01,0.293128365
Ptr01,0.196884134
Ptr01,0.161909714
Ptr01,0.168900436
Ptr01,0.144475917
Ptr01,0.324919357
Ptr01,0.316646195
Ptr01,0.206812413
Ptr01,0.235650142
Ptr01,0.299491577
Ptr01,0.368384203
Ptr01,0.345090297
Ptr01,0.296295655
Ptr01,0.294584942
Ptr01,0.364090636
Ptr01,0.143464297
Ptr01,0.278604984
Ptr01,0.188158515
Ptr01,0.158115971
Ptr01,0.285786029
Ptr01,0.317076523
Ptr01,0.264002047
Ptr01,0.268312151
Ptr01,0.260374462
Ptr01,0.255231086
Ptr01,0.303753327
Ptr01,0.215161709
Ptr01,0.242008103
Ptr01,0.276803234
Ptr01,0.302059329
Ptr01,0.189452047
Ptr01,0.148970027
Ptr01,0.18763844
Ptr01,0.200012541
Ptr01,0.31959915
Ptr01,0.251093638
Ptr01,0.299665335
Ptr01,0.242732883
Ptr01,0.317934749
Ptr01,0.262623107
Ptr01,0.268695993
Ptr01,0.242160645
Ptr01,0.400046169
Ptr01,0.265978038
Ptr01,0.252964346
Ptr01,0.328889594
Ptr01,0.359860919
Ptr01,0.190733099
Ptr01,0.201951795
Ptr01,0.396941342
Ptr01,0.154122319
Ptr01,0.293222235
Ptr01,0.145274447
Ptr01,0.352477222
Ptr01,0.276146246
Ptr01,0.2882509
Ptr01,0.175744219
Ptr01,0.262277187
Ptr01,0.214561778
Ptr01,0.309493859
Ptr01,0.353792909
Ptr01,0.328097324
Ptr01,0.231367864
Ptr01,0.29027027
Ptr01,0.216105576
Ptr01,0.245809501
Ptr01,0.226485763
Ptr01,0.282223538
Ptr01,0.339327075
Ptr01,0.275491558
Ptr01,0.285958098
Ptr01,0.199641513
Ptr01,0.158949151
Ptr01,0.326855375
Ptr01,0.189724119
Ptr01,0.357104412
Ptr01,0.22075291
Ptr01,0.405476026
Ptr01,0.270630457
Ptr01,0.173134175
Ptr01,0.172183068
Ptr01,0.213545657
Ptr01,0.172807918
Ptr01,0.24977324
Ptr01,0.159042208
Ptr01,0.307005748
Ptr01,0.262764324
Ptr01,0.266808049
Ptr01,0.222245528
Ptr01,0.372471349
Ptr01,0.31683862
Ptr01,0.213647337
Ptr01,0.18678604
Ptr01,0.267087612
Ptr01,0.215399278
Ptr01,0.17706082
Ptr01,0.375730494
Ptr01,0.257190519
Ptr01,0.262902059
Ptr01,0.243908527
Ptr01,0.171041986
Ptr01,0.138211798
Ptr01,0.252503994
Ptr01,0.347880238
Ptr01,0.348179502
Ptr01,0.172456866
Ptr01,0.159259663
Ptr01,0.433550777
Ptr01,0.193694754
Ptr01,0.324011667
Ptr01,0.167600756
Ptr01,0.22647443
Ptr01,0.249203829
Ptr01,0.1602586
Ptr01,0.181682675
Ptr01,0.323432373
Ptr01,0.228569475
Ptr01,0.263988692
Ptr01,0.254091997
Ptr01,0.275195324
Ptr01,0.136795225
Ptr01,0.288831022
Ptr01,0.309214104
Ptr01,0.221673991
Ptr01,0.223491816
Ptr01,0.33111074
Ptr01,0.308054542
Ptr01,0.333880641
Ptr01,0.30766925
Ptr01,0.298374045
Ptr01,0.212493433
Ptr01,0.345464015
Ptr01,0.365656201
Ptr01,0.461058837
Ptr01,0.231377191
Ptr01,0.249768297
Ptr01,0.16857055
Ptr01,0.253460757
Ptr01,0.186211276
Ptr01,0.320212847
Ptr01,0.277246665
Ptr01,0.116757072
Ptr01,0.171194383
Ptr01,0.265058193
Ptr01,0.325239011
Ptr01,0.225988012
Ptr01,0.145825338
Ptr01,0.289182633
Ptr01,0.258143022
Ptr01,0.249860371
Ptr01,0.364199546
Ptr01,0.16413912
Ptr01,0.235296138
Ptr01,0.283492864
Ptr01,0.14639047
Ptr01,0.268601972
Ptr01,0.149946983
Ptr01,0.205288304
Ptr01,0.42658367
Ptr01,0.335649395
Ptr01,0.30440911
Ptr01,0.343645211
Ptr01,0.311038469
Ptr01,0.332862993
Ptr01,0.300600988
Ptr01,0.337646512
Ptr01,0.213243555
Ptr01,0.274002492
Ptr01,0.241726952
Ptr01,0.363315769
Ptr01,0.207558255
Ptr01,0.328914876
Ptr01,0.254274147
Ptr01,0.092010267
Ptr01,0.25335383
Ptr01,0.266094781
Ptr01,0.246122836
Ptr01,0.184614533
Ptr01,0.365622562
Ptr01,0.233427812
Ptr01,0.204399836
Ptr01,0.270065081
Ptr01,0.28976209
Ptr01,0.276166221
Ptr01,0.238299877
Ptr01,0.236417131
Ptr01,0.247150028
Ptr01,0.253719724
Ptr01,0.109799887
Ptr01,0.312992864
Ptr01,0.263716043
Ptr01,0.192506154
Ptr01,0.184688473
Ptr01,0.219537385
Ptr01,0.278355923
Ptr01,0.272998389
Ptr01,0.190247849
Ptr01,0.255487011
Ptr01,0.389077131
Ptr01,0.332874758
Ptr01,0.277213593
Ptr01,0.32366832
Ptr01,0.246876084
Ptr01,0.353137971
Ptr01,0.275875897
Ptr01,0.267030939
Ptr01,0.171880232
Ptr01,0.334674308
Ptr01,0.226857326
Ptr01,0.238952724
Ptr01,0.328400404
Ptr01,0.304423171
Ptr01,0.165865735
Ptr01,0.241500664
Ptr01,0.159815344
Ptr01,0.317596631
Ptr01,0.242507961
Ptr01,0.284625753
Ptr01,0.342458836
Ptr01,0.214998518
Ptr01,0.184007996
Ptr01,0.234067925
Ptr01,0.195330502
Ptr01,0.247057764
Ptr01,0.201293547
Ptr01,0.313823719
Ptr01,0.258899368
Ptr01,0.159728294
Ptr01,0.361969895
Ptr01,0.384216395
Ptr01,0.230486614
Ptr01,0.146260047
Ptr01,0.201775015
Ptr01,0.217929336
Ptr01,0.322532802
Ptr01,0.351959032
Ptr01,0.232321224
Ptr01,0.291795112
