Cluster,Expansin A6
#01,0
#01,0
#04,0
#07,0
#01,0.909563687
#09,1.520452205
#04,0.681552474
#07,0
#04,0.625909205
#01,0
#01,2.027480736
#02,1.36654993
#03,0
#02,0
#02,0
#05,0
#01,2.231695876
#03,0
#02,0
#01,0
#01,1.698071272
#01,2.966833136
#04,0.532627637
#06,0
#09,1.310946538
#03,0
#01,2.024136906
#06,0
#05,0.364596596
#07,0
#03,0
#03,0
#02,0
#01,1.489706444
#06,2.145718773
#01,1.309926997
#05,0
#01,1.476397861
#06,1.536235215
#03,0
#01,0
#02,0
#03,0
#01,1.933402251
#05,0
#05,0.804407009
#08,0
#03,0.74200186
#02,0.503563413
#07,0
#03,0
#06,0.324362962
#07,0
#02,0
#02,0.359662518
#01,0
#02,2.527681983
#03,0
#04,0
#01,0.821196847
#06,1.156399533
#06,0.433174583
#02,0.51463501
#07,0
#03,0.150715675
#01,2.09976143
#02,0
#03,0
#03,0
#01,2.047816235
#08,2.412851834
#04,0
#02,0
#02,1.118105521
#05,0
#07,0
#01,2.688101136
#01,0.795180208
#01,0
#07,0
#06,0
#02,0
#01,1.347326367
#07,0
#01,0
#03,0
#07,0
#02,2.231995775
#08,1.535722153
#04,0
#02,0.644668747
#05,0.128679148
#03,0
#05,0
#09,1.459049195
#02,0.385773811
#01,3.07080535
#01,0
#03,0
#06,1.315298565
#05,0.171196819
#01,1.313759035
#06,0
#01,0
#01,1.513636054
#01,2.825435606
#06,0
#04,0.168830052
#02,0
#01,0.849538659
#03,0
#01,2.407124482
#05,0.219678037
#03,0
#02,0
#01,0
#02,0
#05,0
#01,2.019476952
#02,1.346312875
#05,0
#03,0.164625573
#03,0
#02,0
#07,0
#01,1.053298226
#01,0
#01,1.916065792
#07,0
#03,0
#06,2.057915259
#01,0
#06,0
#03,0
#03,0
#03,0
#05,0
#02,0
#03,0
#09,0
#03,0
#03,0
#01,2.925665371
#01,0.481989109
#07,0
#02,0
#04,0
#01,0
#03,1.567470054
#06,0.085956388
#01,0.695618563
#03,0.127982361
#06,1.727000662
#06,1.686828638
#04,0
#07,0
#03,0
#01,0.797886581
#07,0
#04,0.503031309
#04,0
#06,0
#03,0
#06,0
#06,0.577779435
#05,0.25665328
#02,0
#01,0.5854438
#07,0
#02,0
#02,1.894290559
#07,0
#02,0
#05,0
#01,2.680936391
#07,0
#01,1.426406313
#02,0
#07,0
#02,0
#02,0
#06,0
#03,0
#01,0
#01,0.828954459
#03,0.0980269
#02,0
#02,0.319920966
#07,0
#01,0.874469118
#08,0.388438365
#06,0
#01,3.12049495
#03,0
#06,0
#07,0
#07,0
#05,0
#01,1.276481841
#01,0
#05,0.764733636
#02,0
#01,0
#04,0
#04,0
#04,1.258674287
#05,0
#01,2.144610272
#07,0.858911701
#01,2.815298205
#06,0.155378663
#04,0.628679958
#02,0.407368278
#02,0
#02,0.497598688
#01,3.695124287
#03,0
#05,0
#02,0
#05,0
#01,0.690696015
#01,0
#06,1.019967667
#03,0
