Cluster,Ray scUPlcmUP
#05,0.419288761
#05,0
#03,0.772406829
#05,0.705535827
#02,0.465815235
#01,2.298630279
#01,1.219060546
#03,3.346382456
#01,1.504994196
#01,0.712796169
#03,1.968308086
#04,1.153802813
#02,2.238013991
#02,0.52466199
#06,2.230023561
#06,0.79056866
#05,0.405690893
#01,2.534144363
#07,0.910354654
#06,1.982196161
#10,0
#05,1.275980653
#04,0
#04,2.708896269
#02,4.831098922
#03,3.918653198
#06,0.93189003
#01,1.443796292
#06,1.744537897
#07,0
#05,0
#06,0.422966797
#05,2.80532544
#01,1.463344795
#05,2.86947534
#02,0
#04,0
#02,1.284358559
#03,1.832297565
#01,0
#02,3.418345409
#02,0
#03,1.601620838
#03,1.297895791
#07,0
#09,1.313229593
#05,1.934538188
#02,1.064863954
#01,0.875015945
#03,2.338631891
#08,5
#05,0.812296977
#03,1.831117544
#02,3.60610983
#06,1.184851045
#02,0
#06,0.658128913
#01,0
#01,0
#01,3.455553036
#02,0
#07,1.045479971
#07,0.648795979
#02,1.69375597
#02,0.549104694
#03,2.233820182
#06,0.44989719
#06,0.605976104
#01,0
#06,1.015202095
#07,0
#01,5
#03,1.122605655
#02,0.512050709
#05,0.781881016
#06,0.766032177
#02,1.719194993
#02,0.524469147
#02,3.510785944
#05,0
#01,0.453327514
#04,5
#05,1.431093641
#02,0.955600741
#01,0.562544522
#02,2.810972444
#02,0.57480513
#01,0
#08,5
#03,2.611496938
#01,2.029293552
#06,0.656139418
#03,1.18207403
#05,0.985075964
#02,0.842027851
#01,0
#02,0.442752877
#06,0.681426506
#01,0
#04,0
#02,0.917292102
#02,4.876263222
#01,0
#02,5
#01,0.153019741
#07,0
#01,0
#04,0.387965462
#03,0
#02,1.845416767
#02,0.556176181
#01,0.546578151
#01,0
#04,0
#02,3.182374542
#07,0.279111301
#01,0
#07,0.813586876
#03,0.514074664
#05,1.551277864
#04,0
#01,1.017532643
#01,0
#02,2.741794991
#02,5
#02,0
#01,0
#02,5
#10,0.373838842
#01,2.292778974
#01,0
#05,0
#01,0
#03,2.340093451
#03,2.813685305
#07,0
#03,1.66006315
#06,1.100545595
#03,1.602073678
#06,0.790474799
#01,1.218012319
#03,2.395492519
#07,0
#02,5
#01,4.572495261
#01,0.96123043
#02,2.166564074
#03,1.676656237
#07,0
#03,1.302172992
#04,2.190314466
#08,5
#05,0.268433169
#05,0.514449581
#07,0.828465199
#07,0
#05,0.613744629
#05,0
#07,0
#03,2.967512439
#03,1.935994074
#08,5
#05,0.541389354
#02,2.816563653
#05,1.094263513
#05,0.664627973
#01,0
#05,1.840933178
#03,0.493672186
#05,1.371747815
#02,5
#01,0
#01,3.213890906
#05,0.792484602
#02,2.293665082
#03,4.050467615
#02,0
#04,2.999720917
#03,1.052055625
#01,0.593750518
#04,1.028107502
#06,0.515644148
#03,2.550822053
#05,1.892487544
#03,0.204806847
#06,0.442732833
#06,0.256287573
#01,0.998559466
#02,0.49160576
#06,0.461953828
#01,0.898059611
#07,0
#03,1.503690414
#03,1.593281826
#06,0.49923503
#03,2.420435842
#01,2.285688951
#04,0
#03,1.715202386
#03,2.438646948
#07,0
#05,0
#04,1.229033147
#02,4.413223224
#07,0
#01,0.734664645
#02,3.250583181
#04,1.041613464
#02,1.41788632
#02,0.498989278
#07,0
#02,0.795180208
#05,0.76774582
#04,1.789922919
#01,1.459458504
#01,1.987102779
#01,2.018939766
#07,0.703225382
#05,0.6377163
#04,0
#01,0
#02,4.972498233
#02,0.928304805
#05,3.214630807
#06,0.512492308
#02,1.144473079
#01,4.658894554
#06,0.795445448
#01,3.405031533
#01,0
#03,1.271680938
#01,1.127523752
#07,0.932261693
#01,0.756728849
#08,5
#01,0
#07,0
#03,0.609930434
#01,2.645588637
#05,2.248679429
#04,0
#07,0
#08,5
#04,0.663985353
#04,0.611891912
#05,1.049709954
#02,0.567023227
#01,1.139711409
#01,0
#06,0.697067325
#01,1.041383921
#01,0
#02,0
#07,0
#06,0.933000441
#01,0.519505042
#03,3.216477924
#06,0.488731241
#04,0.41491731
#07,1.085507015
#03,0.814445634
#06,0
#01,2.682539634
#05,1.011853005
#04,2.38287586
#05,0.757756405
#07,1.109753549
#03,1.425577719
#04,0.748827357
#05,0
#03,0.855433733
#02,0.522166157
#06,1.399493629
#01,0
#02,1.438142111
#07,0
#03,3.058951077
#06,0.637146475
#06,1.109833817
#03,1.832620035
#01,0.5854438
#04,0
#04,1.221294271
#03,1.270742301
#06,0
#01,0.738894331
#02,1.241386551
#01,0.411580227
#04,0
#01,2.215053319
#09,0
#02,1.724248668
#04,0
#01,0
#07,0
#02,0
#02,0.476631629
#07,0
#01,0.734664645
#06,0.803392437
#02,1.132922333
#03,1.550445735
#06,1.498780661
#02,0
#01,3.586652427
#04,0.576317555
#06,1.984209847
#01,0
#07,0.814530196
#02,1.796248357
#01,0.842392716
#07,0.72635192
#05,0.70252685
#01,0.867961687
#02,1.486827507
#02,0.586408812
#04,5
#01,0.668053889
#02,3.639604868
#04,1.244760988
#02,1.23012145
#07,0
#04,2.387043074
#02,1.799335026
#06,0.380221786
#02,0
#01,1.773130444
#08,5
#07,0
#07,0.568835001
#02,0
#01,0
#02,0.805658269
#03,1.803161465
#01,0
#06,0.914385452
#01,2.481862966
#05,3.135667445
#03,3.033032603
#07,0.811507279
#02,0.291502209
#05,0.955311011
#03,1.510626721
#07,0.534090171
#05,1.746108087
#07,0
#02,1.999042659
#05,0.9254871
#01,0
#01,3.273593502
#04,0
#03,1.900614414
#04,2.353965434
#01,0.91983137
#07,0
#07,0.711898834
#05,1.949311493
#01,3.571750495
#01,5
#04,1.435728425
#07,1.039647094
#01,0
#09,0.88097455
#04,0.681552474
#07,0
#04,1.25181841
#01,1.167753701
#01,0
#02,0.479885515
#03,1.987719923
#02,2.162021565
#02,0.503031309
#05,1.736911036
#01,0
#03,2.053529883
#02,2.09084791
#01,0
#01,0.458499058
#01,0.813586876
#04,0.394322883
#06,0.372935666
#09,0.199253667
#03,1.46533834
#01,0
#06,4.104124113
#05,0.655391333
#07,0.488914408
#03,0.933634085
#03,1.259438706
#02,5
#01,1.489706444
#06,2.539084885
#01,1.309926997
#05,1.699592591
#01,1.22459501
#06,1.330876079
#03,1.846652238
#01,1.212583692
#02,2.82255428
#03,0
#01,0
#05,1.876362378
#05,2.566084508
#08,4.855188087
#03,0.625382218
#02,0.547283539
#07,0.388385763
#03,1.897604578
#06,1.282755013
#07,0
#02,1.076317908
#02,2.079609422
#01,1.288654716
#02,0.562322466
#03,2.950250096
#04,1.111484724
#01,1.10454248
#06,2.005492927
#06,0.972341511
#02,1.02927002
#07,0
#03,1.732222163
#01,0.555309227
#02,0
#03,0.653067109
#03,0.353567447
#01,0
#08,5
#04,1.198178789
#02,1.729563309
#02,1.775773597
#05,3.96045443
#07,0.971985624
#01,0
#01,2.10003479
#01,0
#07,0.429086
#06,1.384371234
#02,2.56880407
#01,0
#07,0.428106915
#01,0
#03,1.357892595
#07,0.579947395
#02,1.223783824
#08,5
#04,0.252376947
#02,0.716095041
#05,0.55233912
#03,2.010689811
#05,0
#09,0.369098122
#02,0
#01,3.075153113
#01,0
#03,1.70803665
#06,0.273002011
#05,3.010271851
#01,0
#06,1.079692642
#01,0.49364399
#01,0
#01,1.334608327
#06,0.746898176
#04,5
#02,2.167403302
#01,0.849538659
#03,2.925615019
#01,0.780192591
#05,0.849640043
#03,0.851151907
#02,4.307095975
#01,5
#02,2.851523087
#05,1.390972331
