Cluster,HD ZIP III
#01,0.756728849
#08,1.466958885
#01,0
#07,0
#03,1.923121471
#01,1.322794318
#05,2.115114326
#04,0
#07,0
#08,0.510585707
#04,1.327970707
#04,0.611891912
#05,0.908872754
#02,1.134046455
#01,0
#01,0
#06,1.186763632
#01,2.082767842
#01,1.063036662
#02,0
#07,1.510166363
#06,1.653856009
#01,2.078020166
#03,1.135984227
#06,0.168810275
#04,0.736773286
#07,0.389546329
#03,2.79930354
#06,1.217058598
#01,0
#05,2.111608564
#04,0
#05,0.585491974
#07,1.109753549
#03,1.329661471
#04,0
#05,0.798398857
#03,1.990151544
#02,0.522166157
#06,1.168924033
#01,0
#02,0
#07,0
#03,1.093972789
#06,1.721810128
#06,2.271515014
#03,1.75550433
#01,1.1708876
#04,2.400047068
#04,1.221294271
#03,3.354067132
#06,0.465360545
#01,0
#02,1.081546777
#01,1.143010203
#04,0
#01,0
#09,0
#02,1.050156317
#04,1.754420643
#01,0
#07,0
#02,0
#02,0
#07,0
#01,0
#06,1.748190347
#02,0
#03,0.4921561
#06,1.214594051
#02,0.239484323
#01,2.391101618
#04,0
#06,1.896196625
#01,0
#07,0
#02,2.544149429
#01,0.842392716
#07,0
#05,3.402564857
#01,1.735923374
#02,0.739718531
#02,0.586408812
#04,1.322863794
#01,0
#02,0
#04,1.005316503
#02,0.507244835
#07,0
#04,1.516061837
#02,2.028480336
#06,2.005003847
#02,0
#01,0.7110038
#08,0
#07,0
#07,0
#02,0.52953011
#01,0
#02,2.639104442
#03,0.481015911
#01,0
#06,1.205591645
#01,0.95594482
#05,1.108850928
#03,1.336911639
#07,0
#02,0
#05,0.691607241
#03,0.890807855
#07,0
#05,1.748733226
#07,0
#02,1.122257796
#05,2.84921822
#01,1.177998302
#01,0
#04,1.356178977
#03,1.405852894
#04,1.176982717
#01,0.613220913
#07,0
#07,0
#05,1.551085307
#01,1.5365548
#01,1.536075076
#04,0.717864213
#07,0
#01,0.665075759
#09,0.891548687
#04,0.681552474
#07,0
#04,0
#01,0.117971465
#01,2.687908802
#02,0.959771031
#03,1.805016301
#02,1.164659253
#02,0
#05,2.279878487
#01,2.668688169
#03,1.247876633
#02,0
#01,0
#01,1.375497175
#01,0.813586876
#04,1.057007717
#06,0.372935666
#09,0.972058834
#03,1.393538199
#01,0
#06,1.59145785
#05,0.729193191
#07,0.488914408
#03,0.828791306
#03,1.256631067
#02,0.739797943
#01,0
#06,2.622931509
#01,0
#05,0.903962628
#01,1.063402287
#06,0.80933559
#03,1.133166133
#01,2.308177125
#02,0.600012556
#03,0.906021831
#01,1.91188964
#05,0.516403709
#05,1.233021649
#08,1.387091671
